Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/monitoring/health/,4,1,98,998.691475004307,34.599100006744266,3684.1074000112712,59.25,0.023221148914008307,0.005805287228502077,180,180,3700,3700,3700,3700,3700,3700,3700,3700,3700
WS,frame_upload,8,1,0,21974.7500000085,0,164094.00000004098,6267.625,0.046442297828016614,0.005805287228502077,3000,4000,4600,4600,164000,164000,164000,164000,164000,164000,164000
,Aggregated,12,2,98,14982.730491673768,0,164094.00000004098,4198.166666666667,0.06966344674202493,0.011610574457004154,180,3000,4000,4000,4600,164000,164000,164000,164000,164000,164000
